iter,frame_idx,model_type,loss,image_loss,eikonal_loss,image_loss_raw,eikonal_loss_raw,image_weight,igr_weight,lr,inv_s,cos_anneal_ratio,n_height,target_mean,target_max,pred_mean,pred_max,alpha_mean,alpha_max,weight_mean,weight_max,point_weight_mean,point_weight_max,sdf_min,sdf_max,density_min,density_max,sdf_residual_mean,sdf_residual_abs_mean,sdf_residual_abs_max
1,6,nerf,1.2715632915496826,1.2715632915496826,0.0,1.2715632915496826,0.0,1.0,0.1,0.0,nan,0.0,64,0.030962776392698288,1.0,0.010025582276284695,0.06545741856098175,0.016583360731601715,0.4865826964378357,0.0032942737452685833,0.20858193933963776,3.486000878183404e-06,0.00022072141291573644,nan,nan,0.0,20.0,0.0,0.0,0.0
2,15,nerf,1.3056583404541016,1.3056583404541016,0.0,1.3056583404541016,0.0,1.0,0.1,2.5e-06,nan,0.00625,64,0.03173253685235977,1.0,0.010349242947995663,0.06488446146249771,0.020344406366348267,0.4865829348564148,0.003981305286288261,0.21587756276130676,4.213017291476717e-06,0.0002284416405018419,nan,nan,0.0,20.0,0.0,0.0,0.0
3,5,nerf,1.2161412239074707,1.2161412239074707,0.0,1.2161412239074707,0.0,1.0,0.1,5e-06,nan,0.0125,64,0.03236251696944237,1.0,0.009417816996574402,0.06556527316570282,0.0014888843288645148,0.2811938524246216,0.0007273475639522076,0.11501367390155792,7.696792181377532e-07,0.0001217074750456959,nan,nan,0.0,20.0,1.5013888514658902e-06,1.5013888514658902e-06,1.6025663853724836e-06
4,14,nerf,1.2422860860824585,1.2422860860824585,0.0,1.2422860860824585,0.0,1.0,0.1,7.5e-06,nan,0.01875,64,0.03053577058017254,1.0,0.009626183658838272,0.06579911708831787,0.00879405252635479,0.48658275604248047,0.0020533092319965363,0.19515500962734222,2.1728119463659823e-06,0.00020651303930208087,nan,nan,0.0,20.0,4.510589405981591e-06,4.510589405981591e-06,4.809607617062284e-06
5,16,nerf,1.2688871622085571,1.2688871622085571,0.0,1.2688871622085571,0.0,1.0,0.1,1e-05,nan,0.025,64,0.02982824109494686,1.0,0.010025324299931526,0.0654570534825325,0.016582071781158447,0.48658281564712524,0.003294100519269705,0.1947002410888672,3.485817160253646e-06,0.00020603179291356355,nan,nan,0.0,20.0,9.033778951561544e-06,9.033778951561544e-06,9.621405297366437e-06
6,13,nerf,1.2047004699707031,1.2047004699707031,0.0,1.2047004699707031,0.0,1.0,0.1,1.25e-05,nan,0.03125,64,0.03298387676477432,1.0,0.00938219204545021,0.06487996131181717,0.00025269651087000966,0.06754040718078613,0.00020565642626024783,0.04873589053750038,2.1762562596450152e-07,5.1572322263382375e-05,nan,nan,0.0,20.0,1.5089916814758908e-05,1.5089916814758908e-05,1.6086125469882973e-05
7,11,nerf,1.2842222452163696,1.2842222452163696,0.0,1.2842222452163696,0.0,1.0,0.1,1.5e-05,nan,0.0375,64,0.028455309569835663,1.0,0.01034858450293541,0.06488432735204697,0.020340893417596817,0.48658281564712524,0.0039808242581784725,0.2098919153213501,4.212508429191075e-06,0.00022210762836039066,nan,nan,0.0,20.0,2.2652122424915433e-05,2.2652122424915433e-05,2.4162116460502148e-05
8,4,nerf,1.230428695678711,1.230428695678711,0.0,1.230428695678711,0.0,1.0,0.1,1.75e-05,nan,0.04375,64,0.03153818100690842,1.0,0.009416986256837845,0.06556475907564163,0.0014877152862027287,0.2810758948326111,0.000726989412214607,0.10732807964086533,7.693002430642082e-07,0.0001135745769715868,nan,nan,0.0,20.0,3.179861232638359e-05,3.179861232638359e-05,3.381777787581086e-05
9,1,nerf,1.234518051147461,1.234518051147461,0.0,1.234518051147461,0.0,1.0,0.1,2e-05,nan,0.05,64,0.033269189298152924,1.0,0.009625127539038658,0.06579767167568207,0.008789736777544022,0.48658299446105957,0.0020526766311377287,0.19515246152877808,2.1721425582654774e-06,0.0002065103326458484,nan,nan,0.0,20.0,4.254113446222618e-05,4.254113446222618e-05,4.5356671762419865e-05
10,0,nerf,1.181490182876587,1.181490182876587,0.0,1.181490182876587,0.0,1.0,0.1,2.25e-05,nan,0.05625,64,0.040558937937021255,1.0,0.009381103329360485,0.06488050520420074,0.00025231787003576756,0.06746190786361694,0.00020539821707643569,0.04869594797492027,2.1735237965003762e-07,5.153005258762278e-05,nan,nan,0.0,20.0,5.493517892318778e-05,5.493517892318778e-05,5.8579229516908526e-05
